Date,Open,High,Low,Close,Adj Close,Volume
2020-02-14,0.038754,0.042378,0.036885,0.040580,0.040580,6351043
2020-02-15,0.040580,0.065694,0.033360,0.036164,0.036164,9982602
2020-02-16,0.036220,0.050672,0.033913,0.037673,0.037673,14345623
2020-02-17,0.037635,0.037842,0.032417,0.037224,0.037224,7020070
2020-02-18,0.037245,0.037770,0.034293,0.036704,0.036704,4148697
2020-02-19,0.036842,0.037955,0.032982,0.033014,0.033014,4893240
2020-02-20,0.033264,0.037849,0.033059,0.034922,0.034922,6115239
2020-02-21,0.034954,0.035150,0.030767,0.031119,0.031119,3289471
2020-02-22,0.031195,0.031266,0.029639,0.029907,0.029907,3949924
2020-02-23,0.029893,0.030998,0.029539,0.030994,0.030994,3822302
2020-02-24,0.030986,0.031685,0.029853,0.030063,0.030063,4207995
2020-02-25,0.030003,0.030115,0.025694,0.025741,0.025741,4452691
2020-02-26,0.025719,0.025719,0.022225,0.022836,0.022836,4512956
2020-02-27,0.022824,0.027465,0.021702,0.026044,0.026044,5305417
2020-02-28,0.026027,0.027995,0.023697,0.027264,0.027264,6204657
2020-02-29,0.027257,0.029912,0.026044,0.026075,0.026075,4327289
2020-03-01,0.026075,0.026391,0.024779,0.025490,0.025490,3766406
2020-03-02,0.025508,0.027650,0.025105,0.027428,0.027428,3660314
2020-03-03,0.027414,0.027947,0.026568,0.027908,0.027908,3935051
2020-03-04,0.027908,0.034557,0.027533,0.033470,0.033470,16551300
2020-03-05,0.033452,0.033483,0.032253,0.032773,0.032773,6509656
2020-03-06,0.032766,0.033229,0.031294,0.031667,0.031667,4026209
2020-03-07,0.031635,0.032456,0.030945,0.032456,0.032456,3691671
2020-03-08,0.032614,0.032676,0.026437,0.026522,0.026522,3928186
2020-03-09,0.026432,0.027334,0.024921,0.026404,0.026404,3173619
2020-03-10,0.026502,0.027261,0.026048,0.027039,0.027039,2074863
2020-03-11,0.026869,0.036624,0.023749,0.025143,0.025143,2956025
2020-03-12,0.025125,0.029462,0.014340,0.014455,0.014455,3105130
2020-03-13,0.014471,0.017002,0.010813,0.016049,0.016049,3837973
2020-03-14,0.016081,0.017761,0.015062,0.017027,0.017027,2481788
2020-03-15,0.017027,0.019345,0.016969,0.018323,0.018323,2905959
2020-03-16,0.018314,0.018473,0.014218,0.015410,0.015410,2063410
2020-03-17,0.015295,0.017034,0.015295,0.016118,0.016118,2700889
2020-03-18,0.016036,0.016247,0.015156,0.016247,0.016247,3833999
2020-03-19,0.016261,0.019322,0.016261,0.018600,0.018600,6566416
2020-03-20,0.018633,0.020608,0.017602,0.018869,0.018869,5611552
2020-03-21,0.018895,0.020367,0.018109,0.019052,0.019052,5239313
2020-03-22,0.019086,0.020733,0.017874,0.017913,0.017913,5329838
2020-03-23,0.017913,0.019654,0.017576,0.019654,0.019654,5425009
2020-03-24,0.019579,0.019971,0.018610,0.019585,0.019585,4993292
2020-03-25,0.019595,0.019633,0.018902,0.019184,0.019184,4900890
2020-03-26,0.019192,0.019690,0.018599,0.019359,0.019359,1131085
2020-03-27,0.019486,0.019814,0.018801,0.019178,0.019178,1490019
2020-03-28,0.019168,0.019180,0.017348,0.017834,0.017834,3408515
2020-03-29,0.017862,0.018454,0.016718,0.016722,0.016722,3768853
2020-03-30,0.016775,0.017962,0.016642,0.017771,0.017771,3098036
2020-03-31,0.017717,0.019877,0.017553,0.018717,0.018717,6249068
2020-04-01,0.018717,0.018914,0.017631,0.018678,0.018678,4490427
2020-04-02,0.018674,0.019280,0.018423,0.019151,0.019151,3776633
2020-04-03,0.019077,0.019640,0.018781,0.019549,0.019549,4788325
2020-04-04,0.019549,0.019769,0.019160,0.019625,0.019625,4404159
2020-04-05,0.019586,0.020423,0.019213,0.019284,0.019284,5735205
2020-04-06,0.019248,0.020469,0.019223,0.020366,0.020366,5227014
2020-04-07,0.020320,0.021047,0.020093,0.020283,0.020283,4944189
2020-04-08,0.020294,0.020856,0.020010,0.020817,0.020817,4880790
2020-04-09,0.020817,0.021931,0.020768,0.021774,0.021774,6510983
2020-04-10,0.021792,0.021822,0.019089,0.019503,0.019503,4735600
2020-04-11,0.019503,0.019886,0.019063,0.019246,0.019246,3792251
2020-04-12,0.019253,0.019923,0.018989,0.019571,0.019571,3609697
2020-04-13,0.019555,0.019594,0.018388,0.018999,0.018999,3633213
2020-04-14,0.018959,0.019167,0.018507,0.018810,0.018810,3782646
2020-04-15,0.018839,0.019101,0.018165,0.018253,0.018253,4113627
2020-04-16,0.018232,0.019379,0.017614,0.019272,0.019272,4023093
2020-04-17,null,null,null,null,null,null
2020-04-18,0.019338,0.020164,0.019288,0.020079,0.020079,6159960
2020-04-19,0.020047,0.020244,0.019691,0.019964,0.019964,5104833
2020-04-20,0.019958,0.020415,0.018175,0.018489,0.018489,5196503
2020-04-21,0.018469,0.018812,0.018264,0.018541,0.018541,4586791
2020-04-22,0.018538,0.019286,0.018382,0.019001,0.019001,5119670
2020-04-23,0.019033,0.020008,0.018884,0.019588,0.019588,6186828
2020-04-24,0.019612,0.020651,0.019589,0.020597,0.020597,7313052
2020-04-25,0.020554,0.020811,0.020108,0.020788,0.020788,6357595
2020-04-26,0.020834,0.021011,0.020549,0.020888,0.020888,5826830
2020-04-27,0.020895,0.021136,0.020300,0.020619,0.020619,6203348
2020-04-28,0.020637,0.021083,0.020275,0.020779,0.020779,5761423
2020-04-29,0.020783,0.022091,0.020681,0.021820,0.021820,8086017
2020-04-30,0.021841,0.022853,0.020488,0.020811,0.020811,7320235
2020-05-01,0.020811,0.024878,0.020805,0.023185,0.023185,9601053
2020-05-02,0.023157,0.023917,0.022519,0.023410,0.023410,8469720
2020-05-03,0.023452,0.023497,0.021561,0.021941,0.021941,5673133
2020-05-04,0.021966,0.022010,0.020816,0.021574,0.021574,6056272
2020-05-05,0.021627,0.022872,0.021069,0.021680,0.021680,6451678
2020-05-06,0.021665,0.022368,0.021599,0.021599,0.021599,7373177
2020-05-07,0.021621,0.022075,0.020785,0.021949,0.021949,7293388
2020-05-08,0.021906,0.023837,0.021549,0.023141,0.023141,8457351
2020-05-09,0.023160,0.023817,0.022189,0.022689,0.022689,8293671
2020-05-10,0.022695,0.022706,0.019063,0.019907,0.019907,6716365
2020-05-11,0.019920,0.020134,0.018531,0.019656,0.019656,7220449
2020-05-12,0.019633,0.021362,0.019512,0.020798,0.020798,7735775
2020-05-13,0.020794,0.021268,0.020594,0.020872,0.020872,8926493
2020-05-14,0.020845,0.021020,0.020350,0.020763,0.020763,6971922
2020-05-15,0.020712,0.020904,0.020096,0.020343,0.020343,6265887
2020-05-16,0.020280,0.021244,0.020144,0.020964,0.020964,6953260
2020-05-17,0.020964,0.021155,0.020693,0.020859,0.020859,6678152
2020-05-18,0.020856,0.022709,0.020849,0.022118,0.022118,8537840
2020-05-19,0.022115,0.023194,0.022115,0.022587,0.022587,9627973
2020-05-20,0.022588,0.022995,0.021703,0.022468,0.022468,6940702
2020-05-21,0.022469,0.023761,0.021221,0.022551,0.022551,9689253
2020-05-22,0.022554,0.026375,0.022307,0.025174,0.025174,10751042
2020-05-23,0.025163,0.025163,0.023271,0.024397,0.024397,9148865
2020-05-24,0.024396,0.026180,0.023262,0.023262,0.023262,10860522
2020-05-25,0.023218,0.025810,0.022786,0.025810,0.025810,12817086
2020-05-26,0.025785,0.027369,0.025381,0.026908,0.026908,13177704
2020-05-27,0.026908,0.027202,0.024891,0.025304,0.025304,14203993
2020-05-28,0.025309,0.025784,0.024368,0.024913,0.024913,13086898
2020-05-29,0.024886,0.025292,0.023870,0.024377,0.024377,13718937
2020-05-30,0.024378,0.025914,0.024283,0.025168,0.025168,13076344
2020-05-31,0.025225,0.027030,0.024823,0.024980,0.024980,12600406
2020-06-01,0.025030,0.026687,0.024823,0.025757,0.025757,14377067
2020-06-02,0.025732,0.027387,0.024884,0.026021,0.026021,13249687
2020-06-03,0.026019,0.026347,0.025475,0.026307,0.026307,10203457
2020-06-04,0.026344,0.028256,0.025703,0.027712,0.027712,9349597
2020-06-05,0.027725,0.031328,0.027725,0.028961,0.028961,13703955
2020-06-06,0.028961,0.028961,0.027766,0.028190,0.028190,8522355
2020-06-07,0.028188,0.028627,0.026680,0.027735,0.027735,7464685
2020-06-08,0.027708,0.029679,0.027570,0.028759,0.028759,9082163
2020-06-09,0.028734,0.030395,0.028077,0.029843,0.029843,9480267
2020-06-10,0.029854,0.032195,0.029348,0.030282,0.030282,8559715
2020-06-11,0.030330,0.031320,0.025215,0.025414,0.025414,9807479
2020-06-12,0.025384,0.028381,0.025312,0.028381,0.028381,9680296
2020-06-13,0.028450,0.030566,0.028430,0.030473,0.030473,9438362
2020-06-14,0.030539,0.032539,0.029526,0.031153,0.031153,12289905
2020-06-15,0.031179,0.033894,0.027846,0.033259,0.033259,14918796
2020-06-16,0.033185,0.034847,0.032255,0.034137,0.034137,12919908
2020-06-17,0.034100,0.034447,0.031830,0.032553,0.032553,11688270
2020-06-18,0.032553,0.032665,0.031050,0.031859,0.031859,9948112
2020-06-19,0.031898,0.031939,0.029971,0.030276,0.030276,11700133
2020-06-20,0.030276,0.030556,0.029155,0.029980,0.029980,9895349
2020-06-21,0.029963,0.032137,0.029706,0.029789,0.029789,11277117
2020-06-22,0.029757,0.031025,0.029440,0.029917,0.029917,11104850
2020-06-23,0.029883,0.030666,0.029406,0.030313,0.030313,9992422
2020-06-24,0.030318,0.030821,0.028450,0.029152,0.029152,7527052
2020-06-25,0.029165,0.029165,0.026821,0.027734,0.027734,7658725
2020-06-26,0.027729,0.028414,0.026427,0.026929,0.026929,8055832
2020-06-27,0.026929,0.027091,0.025084,0.025440,0.025440,8752722
2020-06-28,0.025440,0.026225,0.024957,0.025797,0.025797,6934317
2020-06-29,0.025797,0.026867,0.025705,0.026830,0.026830,8580765
2020-06-30,0.026712,0.027298,0.026228,0.026757,0.026757,7432353
2020-07-01,0.026991,0.027215,0.026060,0.026502,0.026502,7304501
2020-07-02,0.026506,0.027301,0.025720,0.026374,0.026374,3178097
2020-07-03,0.026372,0.027254,0.026281,0.026751,0.026751,4359214
2020-07-04,0.026742,0.027010,0.026341,0.026770,0.026770,5161045
2020-07-05,0.026718,0.026885,0.025631,0.025968,0.025968,5331848
2020-07-06,0.025968,0.027205,0.025968,0.027184,0.027184,6021069
2020-07-07,0.027128,0.028150,0.026373,0.028047,0.028047,5827113
2020-07-08,0.027991,0.028522,0.027603,0.028337,0.028337,5734128
2020-07-09,0.028337,0.029576,0.027203,0.027568,0.027568,8901145
2020-07-10,0.027581,0.027898,0.027042,0.027710,0.027710,7341113
2020-07-11,0.027713,0.028711,0.027569,0.028711,0.028711,7617519
2020-07-12,0.028723,0.030610,0.028718,0.030202,0.030202,10988278
2020-07-13,0.030202,0.030214,0.028401,0.028732,0.028732,9016566
2020-07-14,0.028699,0.028702,0.027449,0.028456,0.028456,5699739
2020-07-15,0.028466,0.029502,0.028406,0.028828,0.028828,3204555
2020-07-16,0.028826,0.028896,0.026574,0.027512,0.027512,2874011
2020-07-17,0.027513,0.028226,0.027221,0.028169,0.028169,2767460
2020-07-18,0.028168,0.030294,0.027839,0.029830,0.029830,5072834
2020-07-19,0.029874,0.032886,0.029874,0.032175,0.032175,10140446
2020-07-20,0.032039,0.032039,0.030968,0.031107,0.031107,5534568
2020-07-21,0.031101,0.031193,0.030028,0.030572,0.030572,7490105
2020-07-22,0.030567,0.033220,0.030287,0.032646,0.032646,7327536
2020-07-23,0.032713,0.032713,0.030651,0.030903,0.030903,8503224
2020-07-24,0.030827,0.031816,0.030173,0.030378,0.030378,7938614
2020-07-25,0.030386,0.032567,0.030354,0.032217,0.032217,8973400
2020-07-26,0.032226,0.032238,0.029479,0.029820,0.029820,6636754
2020-07-27,0.029820,0.029905,0.026551,0.027803,0.027803,8159989
2020-07-28,0.027759,0.029501,0.027622,0.029361,0.029361,6746248
