Date,Open,High,Low,Close,Adj Close,Volume
2020-02-14,474.473053,493.028107,467.232941,491.160645,491.160645,5065237281
2020-02-15,491.100311,492.670197,433.626190,437.664948,437.664948,5190427957
2020-02-16,438.877502,455.382629,393.825836,415.940643,415.940643,5449550841
2020-02-17,415.050110,416.808167,372.604370,409.344574,409.344574,6803728992
2020-02-18,409.634888,423.483002,387.883972,418.874176,418.874176,5886874448
2020-02-19,419.097107,421.656647,378.708435,382.219421,382.219421,4542003340
2020-02-20,381.300476,386.326050,361.748322,372.481598,372.481598,6890851156
2020-02-21,372.287872,385.395233,369.545807,379.397186,379.397186,4836161572
2020-02-22,379.804565,380.342041,369.832520,373.833130,373.833130,3527159322
2020-02-23,373.757294,401.635529,373.074554,401.635529,401.635529,4162646980
2020-02-24,401.399628,410.405518,367.027069,377.578583,377.578583,4914188970
2020-02-25,377.163666,377.497375,348.124512,353.977448,353.977448,4606854507
2020-02-26,353.978546,359.051849,307.838501,316.644135,316.644135,6763748571
2020-02-27,318.046478,332.853790,308.721558,323.285675,323.285675,5287840793
2020-02-28,323.121216,328.672485,301.705048,313.627533,313.627533,5138037107
2020-02-29,313.925415,321.069794,306.912323,308.326233,308.326233,3835560261
2020-03-01,308.260498,321.915894,305.877533,313.303467,313.303467,4048910843
2020-03-02,313.323303,340.652527,311.524139,336.793274,336.793274,19808528742
2020-03-03,336.911896,337.591003,323.676758,329.238251,329.238251,29574589033
2020-03-04,329.529175,330.959473,313.571198,319.250092,319.250092,10228558602
2020-03-05,319.315643,342.562683,319.315643,337.244812,337.244812,4756771998
2020-03-06,337.394775,351.495819,334.174866,348.893494,348.893494,4856222089
2020-03-07,349.176788,349.634460,330.387207,330.806122,330.806122,3875979762
2020-03-08,331.012970,331.131561,274.514740,276.199799,276.199799,4940601444
2020-03-09,275.961548,279.041718,255.105194,273.207123,273.207123,5692575812
2020-03-10,273.517059,277.154144,265.661835,271.715240,271.715240,4070679142
2020-03-11,271.844421,273.937592,253.383377,266.855469,266.855469,3633629631
2020-03-12,266.753479,266.917694,150.858902,152.224991,152.224991,5267287206
2020-03-13,152.176651,187.879303,139.216644,176.494720,176.494720,7430982761
2020-03-14,177.124573,180.144424,165.053436,167.584717,167.584717,3542066431
2020-03-15,167.560379,187.476288,166.020264,178.311279,178.311279,3000089521
2020-03-16,178.196838,183.164017,152.296555,170.736649,170.736649,4079544956
2020-03-17,171.050674,185.097107,170.545319,180.326385,180.326385,3314225864
2020-03-18,179.778473,182.529739,171.398529,179.092331,179.092331,2984002272
2020-03-19,178.924759,229.176819,177.777161,221.268555,221.268555,5208693462
2020-03-20,221.477356,242.512756,198.273880,214.424942,214.424942,5643988214
2020-03-21,214.397461,225.139130,209.300186,219.367508,219.367508,4157945375
2020-03-22,219.599045,229.779892,202.991180,203.672287,203.672287,4015953536
2020-03-23,203.528076,219.850739,200.744995,219.330475,219.330475,4187958180
2020-03-24,219.824356,229.325882,218.090347,227.246094,227.246094,3821906574
2020-03-25,227.405396,228.288177,215.917816,220.440353,220.440353,3456700025
2020-03-26,220.528885,226.855225,220.528885,226.823120,226.823120,3364466566
