Open,Close,Change
2.481717,2.329803,-0.151914
2.32926,2.389883,0.060623
2.389982,2.407302,0.01732
2.407266,2.284915,-0.122351
2.283694,2.322503,0.038809
2.322211,2.325855,0.003644
2.325787,2.278246,-0.047541
2.278147,2.151995,-0.126152
2.151837,2.173464,0.021627
2.17347,2.107015,-0.066455
2.107407,2.082002,-0.025405
2.080809,2.134679,0.05387
2.134937,2.227776,0.092839
2.228488,2.224565,-0.003923
2.224497,2.233796,0.009299
2.233514,2.362015,0.128501
2.363074,2.294305,-0.068769
2.294657,2.327642,0.032985
2.327558,2.327448,-0.00011
2.327062,2.26636,-0.060702
2.266845,2.187955,-0.07889
2.18703,2.185689,-0.001341
2.185157,1.820356,-0.364801
1.818252,2.061476,0.243224
2.060953,2.027511,-0.033442
2.027713,1.976522,-0.051191
1.976812,2.001074,0.024262
2.001178,2.119664,0.118486
2.119271,2.043773,-0.075498
2.043362,1.989524,-0.053838
1.989491,2.015081,0.02559
2.014092,2.008919,-0.005173
2.009306,1.998693,-0.010613
1.999217,2.133314,0.134097
2.135093,2.311222,0.176129
2.312734,2.379434,0.0667
2.380155,2.616993,0.236838
2.624953,2.533712,-0.091241
2.531239,2.459804,-0.071435
2.459383,2.640894,0.181511
2.641848,2.771251,0.129403
2.771549,2.334696,-0.436853
2.331017,2.287154,-0.043863
2.288114,2.495503,0.207389
2.495979,2.540158,0.044179
2.544155,2.730416,0.186261
2.723908,2.881576,0.157668
2.874128,2.965304,0.091176
2.966894,3.0302,0.063306
3.029712,2.89108,-0.138632
2.88629,2.908511,0.022221
2.908995,2.465161,-0.443834
2.463525,2.926046,0.462521
2.92003,3.170702,0.250672
3.168878,3.044038,-0.12484
3.043352,2.92585,-0.117502
2.924502,2.908675,-0.015827
2.907269,2.804427,-0.102842
2.80386,2.947751,0.143891
2.958951,2.904956,-0.053995
2.905295,2.888904,-0.016391
2.890354,2.83868,-0.051674
2.839669,2.910136,0.070467
2.911773,2.908184,-0.003589
2.907509,3.040922,0.133413
3.041303,2.959972,-0.081331
2.960587,3.437189,0.476602
3.441673,3.170425,-0.271248
3.170608,3.307816,0.137208
3.307599,3.400294,0.092695
3.400543,3.755067,0.354524
3.755037,3.826536,0.071499
3.82785,4.111172,0.283322
4.107646,5.013899,0.906253
5.012988,5.329806,0.316818
5.185954,4.937731,-0.248223
